<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBCB,D,20190208,000000,1010.2000000,1010.2000000,1003.0000000,1003.0000000,843
SBCB,D,20190211,000000,1001.0000000,1003.6000000,997.8000000,1003.6000000,547
SBCB,D,20190212,000000,1023.6000000,1023.6000000,1000.0000000,1002.6000000,425
SBCB,D,20190213,000000,1000.2000000,1004.0000000,1000.2000000,1002.0000000,207
SBCB,D,20190214,000000,1009.4000000,1018.4000000,1009.4000000,1017.2000000,291
SBCB,D,20190215,000000,1014.0000000,1015.6000000,1009.8000000,1013.8000000,416
SBCB,D,20190218,000000,1034.0000000,1034.0000000,1005.0000000,1007.0000000,440
SBCB,D,20190219,000000,1004.0000000,1009.2000000,1004.0000000,1006.6000000,2233
SBCB,D,20190220,000000,1005.0000000,1005.0000000,1000.0000000,1000.0000000,697
SBCB,D,20190221,000000,1001.2000000,1001.2000000,996.0000000,997.2000000,809
SBCB,D,20190222,000000,1000.0000000,1001.0000000,994.0000000,997.4000000,2016
SBCB,D,20190225,000000,1010.0000000,1010.0000000,986.8000000,998.4000000,690
SBCB,D,20190226,000000,1005.0000000,1006.4000000,999.2000000,1006.4000000,603
SBCB,D,20190227,000000,1002.4000000,1009.4000000,1001.2000000,1005.4000000,645
SBCB,D,20190228,000000,996.2000000,1009.8000000,996.2000000,1006.8000000,1043
SBCB,D,20190301,000000,1009.4000000,1024.0000000,1003.6000000,1005.0000000,603
SBCB,D,20190304,000000,1017.0000000,1017.0000000,998.8000000,1002.8000000,641
SBCB,D,20190305,000000,1005.4000000,1005.4000000,1000.6000000,1003.0000000,597
SBCB,D,20190306,000000,1005.0000000,1011.8000000,1000.4000000,1011.0000000,609
SBCB,D,20190307,000000,1018.0000000,1018.0000000,1000.4000000,1011.6000000,331
SBCB,D,20190311,000000,1011.2000000,1014.4000000,1010.2000000,1013.4000000,510
SBCB,D,20190312,000000,1027.8000000,1028.0000000,1007.6000000,1010.4000000,601
SBCB,D,20190313,000000,1008.8000000,1009.0000000,1004.6000000,1006.4000000,526
SBCB,D,20190314,000000,997.6000000,1017.4000000,997.6000000,1009.6000000,646
SBCB,D,20190315,000000,1008.8000000,1008.8000000,1003.0000000,1004.0000000,666
SBCB,D,20190318,000000,1001.2000000,1001.2000000,985.8000000,991.4000000,2758
SBCB,D,20190319,000000,1011.2000000,1031.4000000,977.2000000,991.2000000,830
SBCB,D,20190320,000000,997.2000000,997.2000000,983.4000000,991.2000000,577
SBCB,D,20190321,000000,999.0000000,999.0000000,979.2000000,987.0000000,1091
SBCB,D,20190322,000000,997.8000000,999.0000000,986.0000000,999.0000000,428
SBCB,D,20190325,000000,998.0000000,998.0000000,991.2000000,991.2000000,623
SBCB,D,20190326,000000,996.6000000,998.0000000,991.2000000,996.4000000,699
SBCB,D,20190327,000000,998.0000000,1006.4000000,992.2000000,1003.0000000,1152
SBCB,D,20190328,000000,992.2000000,1010.2000000,992.2000000,1005.6000000,693
SBCB,D,20190329,000000,1025.6000000,1025.6000000,1000.0000000,1015.0000000,1197
SBCB,D,20190401,000000,1023.8000000,1023.8000000,1003.4000000,1013.6000000,497
SBCB,D,20190402,000000,1010.8000000,1015.8000000,1008.8000000,1015.6000000,439
SBCB,D,20190403,000000,1002.0000000,1019.8000000,1002.0000000,1008.2000000,529
SBCB,D,20190404,000000,1014.0000000,1016.6000000,1010.4000000,1013.2000000,1012
SBCB,D,20190405,000000,1016.0000000,1045.0000000,1010.4000000,1012.0000000,968
SBCB,D,20190408,000000,1010.4000000,1015.2000000,1007.8000000,1007.8000000,762
SBCB,D,20190409,000000,1027.8000000,1036.0000000,1004.0000000,1009.2000000,968
SBCB,D,20190410,000000,1023.0000000,1023.0000000,1001.0000000,1001.0000000,1291
SBCB,D,20190411,000000,998.4000000,1017.8000000,998.2000000,1000.4000000,643
SBCB,D,20190412,000000,1003.0000000,1003.2000000,995.0000000,997.0000000,417
SBCB,D,20190415,000000,1006.4000000,1007.0000000,995.2000000,998.2000000,514
SBCB,D,20190416,000000,1004.4000000,1004.4000000,995.4000000,1000.2000000,167
SBCB,D,20190417,000000,1003.6000000,1003.6000000,997.0000000,998.8000000,531
SBCB,D,20190418,000000,999.0000000,1002.8000000,998.2000000,1000.8000000,508
SBCB,D,20190419,000000,1003.0000000,1004.0000000,948.6000000,1000.6000000,954
SBCB,D,20190422,000000,1001.8000000,1002.0000000,997.2000000,999.8000000,469
SBCB,D,20190423,000000,995.6000000,1000.4000000,995.6000000,1000.4000000,479
SBCB,D,20190424,000000,999.6000000,1008.0000000,999.6000000,1006.4000000,1750
SBCB,D,20190425,000000,1012.6000000,1016.8000000,1012.2000000,1015.4000000,568
SBCB,D,20190426,000000,995.2000000,1016.4000000,995.2000000,1016.4000000,2118
SBCB,D,20190429,000000,1016.6000000,1016.6000000,1000.2000000,1010.8000000,489
SBCB,D,20190430,000000,1010.0000000,1010.4000000,1006.0000000,1010.4000000,2582
SBCB,D,20190502,000000,996.6000000,1026.6000000,996.6000000,1024.0000000,301
SBCB,D,20190503,000000,1043.8000000,1043.8000000,1023.0000000,1024.0000000,318
SBCB,D,20190506,000000,1030.0000000,1030.0000000,1022.0000000,1025.0000000,678
SBCB,D,20190507,000000,1021.2000000,1030.0000000,1021.2000000,1026.2000000,1210
SBCB,D,20190508,000000,1025.4000000,1026.0000000,1020.0000000,1020.2000000,1968
SBCB,D,20190510,000000,1023.4000000,1026.4000000,1021.6000000,1023.0000000,485
SBCB,D,20190513,000000,1029.8000000,1029.8000000,1020.2000000,1028.6000000,376
SBCB,D,20190514,000000,1020.2000000,1040.6000000,1020.2000000,1021.2000000,1327
SBCB,D,20190515,000000,1020.0000000,1020.0000000,1013.6000000,1014.2000000,606
SBCB,D,20190516,000000,1015.4000000,1035.0000000,1013.2000000,1015.6000000,1283
