<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBGB,D,20190125,000000,1003.2000000,1003.8000000,1002.2000000,1003.4000000,175
SBGB,D,20190128,000000,1003.4000000,1003.4000000,1003.0000000,1003.0000000,131
SBGB,D,20190129,000000,1002.6000000,1003.2000000,1001.8000000,1002.0000000,837
SBGB,D,20190130,000000,998.8000000,1000.2000000,998.8000000,1000.0000000,399
SBGB,D,20190131,000000,1000.2000000,1006.6000000,1000.2000000,1006.4000000,1017
SBGB,D,20190201,000000,1026.4000000,1026.4000000,1006.0000000,1009.8000000,1044
SBGB,D,20190204,000000,1029.8000000,1029.8000000,1008.0000000,1010.0000000,993
SBGB,D,20190205,000000,989.8000000,1011.2000000,989.8000000,1010.0000000,772
SBGB,D,20190206,000000,1011.6000000,1012.2000000,1010.0000000,1010.6000000,570
SBGB,D,20190207,000000,990.4000000,1015.0000000,990.4000000,1009.0000000,297
SBGB,D,20190208,000000,1007.0000000,1009.0000000,1007.0000000,1008.8000000,811
SBGB,D,20190211,000000,1049.2000000,1049.2000000,1008.6000000,1009.8000000,613
SBGB,D,20190212,000000,1029.8000000,1029.8000000,1007.0000000,1008.4000000,706
SBGB,D,20190213,000000,1003.0000000,1006.8000000,1002.6000000,1003.6000000,871
SBGB,D,20190214,000000,996.2000000,997.6000000,992.4000000,997.2000000,495
SBGB,D,20190215,000000,1017.0000000,1017.0000000,994.6000000,1002.6000000,349
SBGB,D,20190218,000000,1022.8000000,1022.8000000,999.6000000,1004.0000000,495
SBGB,D,20190219,000000,1000.6000000,1005.6000000,1000.2000000,1005.6000000,2023
SBGB,D,20190220,000000,1004.6000000,1004.6000000,997.2000000,1001.4000000,398
SBGB,D,20190221,000000,1001.4000000,1006.6000000,1000.0000000,1003.0000000,152
SBGB,D,20190222,000000,1006.8000000,1007.0000000,1002.6000000,1006.8000000,199
SBGB,D,20190225,000000,1026.8000000,1040.0000000,1005.2000000,1009.6000000,555
SBGB,D,20190226,000000,1005.0000000,1034.0000000,1005.0000000,1008.4000000,452
SBGB,D,20190227,000000,1011.4000000,1014.6000000,1003.8000000,1007.6000000,434
SBGB,D,20190228,000000,1027.6000000,1027.6000000,1003.8000000,1008.4000000,1030
SBGB,D,20190301,000000,1028.4000000,1028.4000000,1005.2000000,1010.0000000,720
SBGB,D,20190304,000000,1004.0000000,1024.0000000,1003.2000000,1010.4000000,453
SBGB,D,20190305,000000,1022.8000000,1022.8000000,1002.4000000,1008.2000000,332
SBGB,D,20190306,000000,1011.0000000,1011.0000000,1005.8000000,1008.8000000,463
SBGB,D,20190307,000000,1009.8000000,1040.0000000,1007.0000000,1009.6000000,387
SBGB,D,20190311,000000,1029.2000000,1029.2000000,1008.0000000,1011.0000000,432
SBGB,D,20190312,000000,1011.0000000,1011.2000000,1008.0000000,1011.0000000,488
SBGB,D,20190313,000000,1011.6000000,1011.6000000,1009.0000000,1011.0000000,205
SBGB,D,20190314,000000,1012.6000000,1012.6000000,1009.2000000,1012.0000000,625
SBGB,D,20190315,000000,1012.0000000,1012.6000000,1009.4000000,1012.6000000,530
SBGB,D,20190318,000000,1012.0000000,1016.6000000,1010.2000000,1014.0000000,689
SBGB,D,20190319,000000,1034.2000000,1034.2000000,1014.8000000,1019.0000000,461
SBGB,D,20190320,000000,1039.0000000,1039.0000000,1015.8000000,1017.6000000,180
SBGB,D,20190321,000000,1037.8000000,1037.8000000,1017.2000000,1024.8000000,330
SBGB,D,20190322,000000,1004.4000000,1024.6000000,1004.4000000,1023.0000000,221
SBGB,D,20190325,000000,1039.2000000,1039.2000000,1016.8000000,1020.2000000,193
SBGB,D,20190326,000000,1027.4000000,1027.4000000,1015.6000000,1022.6000000,320
SBGB,D,20190327,000000,1039.4000000,1043.0000000,1018.2000000,1020.6000000,330
SBGB,D,20190328,000000,1022.8000000,1022.8000000,1010.6000000,1017.6000000,1265
